S.NO,School_Name,Location,City,Phone,Details
131,Delhi Public World School - DPWS,"Piprali Road, Chirwai Naka, Shivpuri Link Road","Gwalior - 474002, Madhya Pradesh,","(0751)-2970195,4044422","CBSE Board,Private School,Co-Educational School,
"
132,Demonstration Multipurpose School,Shyamla Hills,"Bhopal - 462013, Madhya Pradesh,",(755)-2661219Fax:(755)2661668,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1965,
"
133,Dinah Convent School,"Saraswat Nagar, Tarana","Ujjain - 456665, Madhya Pradesh,",(07369)-235300,"High Secondary School,CBSE Board,Private School,Co-Educational School,Established in 1993,
"
134,Don Bosco Public School,"Jhirpa, Via- Tamia","Chhindwara - 480559, Madhya Pradesh,",(940753770194075000000000000000000) 000-0000,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1999,
"
135,Doon Public School,Shivpuri Link Road,"Gwalior - 474001, Madhya Pradesh,",(0751)-4926606phone8959671716,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2004,
"
136,Dr. BR Ambedkar Kendriya Vidyalaya,"Opp. Sitaram Petrol Pump, Rewa Road","Satna - 485001, Madhya Pradesh,",(07580)-251605,"Senior Secondary School,CBSE Board,Government School,Co-Educational School,Established in 1993,
"
137,Dr. Radhakrishnan Girls School,"A Sector, Berkhera Bhel","Bhopal - 462021, Madhya Pradesh,",(0755)-2506326,"High Secondary School,CBSE Board,Private School,Girls Only School,
"
138,Ebenezer Higher Secondary School,"Bhagat Singh Nagar, Airport Road","Gwalior - 474020, Madhya Pradesh,",(8085999444860) 200-0000,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1989,
"
139,Ebenezer Higher Secondary School,"7th Cross, Morar","Gwalior - 474006, Madhya Pradesh,",(0751)-2365131,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
140,Ebenezer Senior Secondary School,"1, Upadhyay Nagar, Mendhki Road","Dewas - 455001, Madhya Pradesh,","(07272)-229984,228884,405494","Senior Secondary School,CBSE Board,Private School,Co-Educational School,Established in 1988,
"
141,ECS Bagless School,"Excellent Circle of Studies, Infront of Dr. Sitaram Dandotiya, MS Road, Gopalpura","Morena - 476001, Madhya Pradesh,",(9575576103982) 650-0000,"Play - Class VIII,CBSE Board,Private School,Co-Educational School,
"
142,ECS Bagless School - Brajeshwari,"12-B, Brajeshwari NX Near Bangali Chouraha","Indore - 452016, Madhya Pradesh,",(8889933119975) 550-0000,"Play - Class V,CBSE Board,Private School,Co-Educational School,
"
143,ECS Bagless School - Chetakpuri,"Aarti Plaza, Chetakpuri","Gwalior - 474006, Madhya Pradesh,",(0751)-4033203phone9406502107,"Nursery - Class VI,CBSE Board,Private School,Co-Educational School,
"
144,ECS Bagless School - Darpan Colony,"Near Tikoniya Park, Darpan Colony, Thatipur","Gwalior - 474011, Madhya Pradesh,",(9301661719797) 480-0000,"Play - Class V,CBSE Board,Private School,Co-Educational School,
"
145,ECS Bagless School - DD Nagar,"Opposite AM-76, Sector A, DD Nagar","Gwalior - 474020, Madhya Pradesh,","(0751)-4093762phone7011580804,9425737896","Nursery - Class V,CBSE Board,Private School,Co-Educational School,
"
146,ECS Bagless School - Dravid Nagar,"123, Dravid Nagar, Ranjeet Hanuman Road","Indore - 452009, Madhya Pradesh,",(0731)-4093698phone9926023927,"Play - Class III,CBSE Board,Private School,Co-Educational School,
"
147,ECS Bagless School - Harishankar Puram,"Near Community Hall, Harishankar Puram","Gwalior - 474001, Madhya Pradesh,",(0751)-4033207phone9425965000,"Play - Class VIII,CBSE Board,Private School,Co-Educational School,
"
148,ECS Bagless School - Hatod,"Near Gas Agency, Hatod","Indore - 453111, Madhya Pradesh,",(903) 930-0800,"Play - Class V,CBSE Board,Private School,Co-Educational School,
"
149,ECS Bagless School - HIG,"32-D, HIG, Near Shopping Complex","Indore - 452001, Madhya Pradesh,",(0731)-4291000phone9893224414,"Play - Class VIII,CBSE Board,Private School,Co-Educational School,
"
150,ECS Bagless School - Joura,"Jail Road, Joura","Morena - 422101, Madhya Pradesh,",(9425126544907) 480-0000,"Play - Class VIII,CBSE Board,Private School,Co-Educational School,
"
151,ECS Bagless School - Kampoo,"Near Balaji Garden, Gudi Guda Ka Naka, Kampoo","Gwalior - 474001, Madhya Pradesh,",(0751)-4920859phone9893494966,"Play - Class V,CBSE Board,Private School,Co-Educational School,
"
152,ECS Bagless School - Kshipra,"248 A.B. Road, Kshipra","Indore - 453771, Madhya Pradesh,",(9658673400929) 470-0000,"Play - Class XII,CBSE Board,Private School,Co-Educational School,
"
153,ECS Bagless School - Mahalaxmi Nagar,"Mahalaxmi Nagar, MR-3 408-411","Indore - 452010, Madhya Pradesh,",(0731)-4976044phone9111012945,"Play - Class VIII,CBSE Board,Private School,Co-Educational School,
"
154,ECS Bagless School - Morar,"CP Colony Main Road, Morar","Gwalior - 474004, Madhya Pradesh,",(0751)-4081717phone9713079309,"Play - Class VIII,CBSE Board,Private School,Co-Educational School,
"
155,ECS Bagless School - Tansen Nagar,"M315, Tansen Nagar, Hazira","Gwalior - 474002, Madhya Pradesh,",(0751)-4033206phone9303555299,"Play - Class V,CBSE Board,Private School,Co-Educational School,
"
156,ECS Bagless School - Thatipur,"36, New Jiwaji Nagar, Thatipur","Gwalior - 474011, Madhya Pradesh,",(0751)-4081479phone7000034310,"Play - Class V,CBSE Board,Private School,Co-Educational School,
"
157,ECS Bagless School - Vidur Nagar,"A-1217, Vidur Nagar, Hawa Bangla Road","Indore - 452009, Madhya Pradesh,",(9826812226999) 300-0000,"Play - Class VIII,CBSE Board,Private School,Co-Educational School,
"
158,ECS Bagless School - Vinay Nagar,"Near Shabd Pratap Ashram, Sector 2, Vinay Nagar","Gwalior - 474012, Madhya Pradesh,",(0751)-4033205phone9770346477,"Play - Class IV,CBSE Board,Private School,Co-Educational School,
"
159,Edify School,"Maharani Laxmi Bai Ward No. 9, Lahgadua, Near Hindustan Unilever Limited, Narsingpur Road","Chhindwara - 480001, Madhya Pradesh,",(9755544144975) 550-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
160,Edify School,"Opposite DKY, Gol Chauraha","Mandsaur - 458001, Madhya Pradesh,",(837000680583700000000000000000000) 000-0000,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
161,Eklavya Model Residential School,Kukshi,"Dhar - 454331, Madhya Pradesh,",(07292)-234522,"Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
162,Eklavya Model Residential School,Shahpur,"Betul - 460440, Madhya Pradesh,",(07141)-273099,"Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
163,Eminent Public School,"Behind I.M.A. Building, Mandu Road","Dhar - 454001, Madhya Pradesh,","(07292)-236788,236787","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2000,
"
164,Evar Green English Higher Secondary School,"116 M, Veena Nagar","Indore - 452010, Madhya Pradesh,","(0731)-3290116phone9993099960,9303300333","High Secondary School,CBSE Board,Private School,Co-Educational School,
"
165,Everonn Public School,"Katara Main Road, Near Spring Valley Apartments, Tehsil - Hujur","Bhopal - 462043, Madhya Pradesh,",()-TollFreeNo.18004251822,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
166,Everonn Public School,"134, Gulmohar City Road, Near New Collectorate","Gwalior - 474011, Madhya Pradesh,",()-TollFreeNo.18004251822,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
167,Everonn Public School,"RH-3, Scheme No. 54, Near Vrindaâ€™s Restaurant","Indore - 452010, Madhya Pradesh,",()-TollFreeNo.18004251822,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
168,Excellent Academy,"Devrundi, Kharsod Kalan, Barnagar","Ujjain - 456313, Madhya Pradesh,",(07367)-201837phone7697082228,"Nursery - Class IX,CBSE Board,Private School,Co-Educational School,
"
169,Excellent Circle of Studies School,"Church Complex, CP Colony, Morar","Gwalior - 500062, Madhya Pradesh,","(0751)-4081717,4033202","Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
170,Garima Vidya Vihar Senior Secondary School,"Airport Road, Paul Hill, Opposite Bijasan Road","Indore - 452001, Madhya Pradesh,","(0731)-2635000,2623900phoneWhatsappNo.7049494919","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2007,
"
171,Gautam International Academy,"Gautam s Point, Jetpura","Dhar - 454001, Madhya Pradesh,","7292280600,9589013634(Reception)","Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
172,GD Goenka Public School,Shivpuri Link Road,"Gwalior - 474001, Madhya Pradesh,","(0751)-2400026,2400027phone92855520222,9285520333,92855520444,92855520555","Nursery - Class X,CBSE Board,Private School,Co-Educational School,Established in 2012,
"
173,GD Goenka Public School,"Garden City, DLF Township, By Pass Road","Indore - 453771, Madhya Pradesh,",(777) 102-0000,"Nursery - Class XI,CBSE Board,Private School,Co-Educational School,
"
174,Geeta Public School,Fatehpur Road,"Shivpuri - 473551, Madhya Pradesh,",(07492)-224030phone9827263737Fax:(07492)222031,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
175,Geetanjali Public School,Civil Lines,"Rewa - 486001, Madhya Pradesh,",(07662)-2408116,"Play - Class X,CBSE Board,Private School,Co-Educational School,Established in 2009,
"
176,Global Indian International School - GIIS,"NH-59, 7th K.M., Indore-Ahmedabad Road (Dhar Road) Sinhasa","Indore - 452002, Madhya Pradesh,",(8719999000871) 990-0000,"Play - Class X,CBSE Board,Private School,Co-Educational School,
"
177,Gokuldas Public School,Bistan Road,"Khargone - 451001, Madhya Pradesh,",(942) 456-4300,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2004,
"
178,Golden Future Higher Secondary School,"Opposite Gurudwara Pipliya Rao, Ring Road","Indore - 452010, Madhya Pradesh,",(0731)-4245748phone9826698376,"High Secondary School,CBSE Board,Private School,Co-Educational School,
"
179,Golden International School,Cat Road (RAU),"Indore - 453331, Madhya Pradesh,",(96691966989669200000000) 000-0000,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2007,
"
180,Government Subhash Higher Secondary School for Excellence,Shivaji Nagar,"Bhopal - 462016, Madhya Pradesh,",(0755)-2552490,"Senior Secondary School,CBSE Board,Government School,Co-Educational School,
"
181,Green Valley Public School,Dongariya,"Balaghat - 481331, Madhya Pradesh,",(8435274555769) 730-0000,"Class I - Class VIII,CBSE Board,Private School,Co-Educational School,
"
182,Green Valley Senior Secondary School,"300/1, Sarvadharam C-Sector, Near J.K. Hospital, Kolar Road","Bhopal - 462042, Madhya Pradesh,","(0755)-2492399phone9303125133,9479531973","Senior Secondary School,CBSE Board,Private School,Co-Educational School,Established in 2002,
"
183,Green Wood Public High School,"Aditya Puram, Jedrua Kalan","Gwalior - 474001, Madhya Pradesh,",(7694979797810) 900-0000,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
184,Guru Harikrishan Public School,Khandwa Road,"Indore - 452001, Madhya Pradesh,","(0731)-2440505,2367689phone9826385505Fax:(0731)2479789","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
185,Gurudev International Public School,"Station Road, Kaydi, Waraseoni Road","Balaghat - 481001, Madhya Pradesh,",(07632)-281555phone9753187666,"Nursery - Class V,CBSE Board,Private School,Co-Educational School,
"
186,Gurukul Purv Madhyamik Vidyalaya,"Khera Road, Chorhut","Rewa - 486001, Madhya Pradesh,",(07762)-504144,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
187,Gurukul School,"Maheshwar Road, Dhamnod","Dhar - 454552, Madhya Pradesh,",(9826078184982) 600-0000,"High Secondary School,CBSE Board,Private School,Co-Educational School,Established in 2003,
"
188,Gurukul Senior Secondary School,"Khaira Road, Chorhata","Rewa - 486006, Madhya Pradesh,",(94251848837024800000000) 000-0000,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2003,
"
189,Gurusahab Public School,"Gram-Sonpur, Betul Road, Chicholi","Betul - 460330, Madhya Pradesh,",(975) 245-2470,"CBSE Board,Private School,Co-Educational School,
"
190,Gwalior Glory School,"B-Block, Harishankarpuram","Gwalior - 474002, Madhya Pradesh,","(0751)-4010086,2634101","Nursery - Class X,CBSE Board,Private School,Co-Educational School,Established in 1991,
"
191,Gwalior Public School,"F-Block, Harishankarpuram","Gwalior - 474001, Madhya Pradesh,",(0751)-4011111,"Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
192,Gyan Ganga International Academy,"Mandideep Road, Ratanpur, P.O. Misrod","Bhopal - 462026, Madhya Pradesh,","(0755)-4023900,4077710,4077720phone754086860,9754086860,9754086850Fax:(0755)4023900","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
193,Gyan Ganga International School,"Near Medical College, Bypass Junction Bhedaghat Road","Jabalpur - 482003, Madhya Pradesh,",(830501412674899000000000000000000) 000-0000,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
194,Gyan Ganga Public School,"Sakar Compound, Parasia Road","Chhindwara - 480001, Madhya Pradesh,",(07162)-223142,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,Established in 1999,
"
195,Gyan Sagar Academy,"Near Abhilasha Colony, Dewas Road, Gram- Hamukhedi","Ujjain - 456010, Madhya Pradesh,","(0734)-2526176,2526875","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
196,Gyan Sagar Girls Academy,"Near Jantar Mantar, Chintaman Road","Ujjain - 456006, Madhya Pradesh,",(750) 907-5006,"Nursery - Class XII,CBSE Board,Private School,Girls Only School,
"
197,Gyanodaya SMVM Higher Secondary School,"Gurukul Campus, Khurai","Sagar - 470117, Madhya Pradesh,","(07581)-240835,241039,240239","Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
198,Gyanodaya Vidya Mandir,Narsingarh,"Damoh - 480001, Madhya Pradesh,","(7601)-241405,2408305Fax:(7601)241235","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
199,Gyansagar International School,"Hoshangabad Pachmari Road, Vill- Kiwlari, Sohagpur","Hoshangabad - 461771, Madhya Pradesh,",(07575)-202005phone7489890188,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
200,Happy Days School,Katha Mill Colony,"Shivpuri - 473551, Madhya Pradesh,",(700) 065-2592,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1991,
"
201,Hema Higher Secondary School,"D-Sector, Govindpura (BHEL Town-ship)","Bhopal - 480661, Madhya Pradesh,","(0755)-2457270,2488205","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
202,Himalaya International School,Mhow-Neemuch Road,"Ratlam - 457001, Madhya Pradesh,","(07412)-257500,257600phone8435803901,8435803902","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
203,Hind Convent School,"Naveen Nagar, Aish Bagh","Bhopal - 462010, Madhya Pradesh,","(0755)-2705634,4221233","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
204,Holy Cross Senior Secondary School,"Chichili Bairagarh, Kolar Road","Bhopal - 462042, Madhya Pradesh,",(0755)-2879406,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
205,Holy Family Convent Senior Secondary School,"Shantinagar, Gandhi Nagar Branch, Kurana P.O.","Bhopal - 462036, Madhya Pradesh,","(0755)-2528826,2528144","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1990,
"
206,Holy Trinity School,Vijaynagar,"Dewas - 455001, Madhya Pradesh,",(07272)-228066,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
207,Hope Academy School,"8 K.M. Post Hira Nagar, Village - Alampura, Jhansi Road","Tikamgarh - 472001, Madhya Pradesh,",(07683)-298888phone9425142591(Principal),"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2004,
"
208,Humpty Dumpty Nursery School,"72/73, Narayan Bagh","Indore - 452001, Madhya Pradesh,","(0731)-2420812,2421063","Play - Nursery,CBSE Board,Private School (Montessori),Co-Educational School,
"
209,IATS Public School,"Aditya Puram, Airport Road, Maharajpura","Gwalior - 474001, Madhya Pradesh,",(0751)-2741284phone9340082912,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2000,
"
210,Ideal Public School,"Waraseoni Ward #8 Chandori, In Front of Jawahar Navodaya Vidyalaya, Waraseoni","Balaghat - 481331, Madhya Pradesh,",(9329494047932) 920-0000,"High Secondary School,CBSE Board,Private School,Co-Educational School,Established in 2011,
"
211,ILVA Higher Secondary School,"Sneh Nagar, Navlakha","Indore - 452001, Madhya Pradesh,","(0731)-4092404,2364709","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1988,
"
212,Imperial Academy,"Khandwa Road, Near Radhaswami Satsang","Indore - 452001, Madhya Pradesh,",(9826955977900) 900-0000,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1988,
"
213,Indore Public School - Eastern Campus,"116/1, Saikripa Colony, Opposite Hotel Radisson, MR-10","Indore - 452001, Madhya Pradesh,","(0731)-4218844,4218855phone9826828161","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
214,Indore Public School - Jhabua Campus,"NH-59, Indore - Ahemdabad Road, Near Varun Petrol Pump Gadwada","Jhabua - 457661, Madhya Pradesh,",(98268701619826900000000) 000-0000,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
215,Indore Public School - Main Campus,"Knowledge Village - Rajendra Nagar, A.B. Road","Indore - 452012, Madhya Pradesh,","(0731)-4014800,4014801,4014802phone9826027161,9826050161","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
216,Indore Public School - Sanwer,"Gram Badodiya Khan, Tehsil - Sanwer","Indore - 453551, Madhya Pradesh,",(99265611619926200000000) 000-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
217,International Public School,"Misrod, Mandideep Road","Bhopal - 462046, Madhya Pradesh,","(0755)-2980200phone966884422,9826010143,9752397337","Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
218,Ishaque Patel Public School - IPPS,Near Saikripa Colony (Bombay Hospital) Ring Road,"Indore - 452001, Madhya Pradesh,","(0731)-2559499phone9826631181,9977831181,7869431181","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1994,
"
219,Itma Vidya Niketan,"Scheme No. 78, Opposite Shalimar Township, Near Atal Khel Parisar, A.B. Road","Indore - 452010, Madhya Pradesh,","(0731)-2553588,2574299Fax:(0731)2553588","Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
220,Jain Public School,"Opp. Central School, Sagod Road","Ratlam - 457001, Madhya Pradesh,",(07412)-241039phone9669200837,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
221,Jain Public School,"School Campus Badnagar- Badnawar Road, Near Toll Naka Badnagar","Ujjain - 456001, Madhya Pradesh,",(07367)-280511phone9669200836,"CBSE Board,Private School,Co-Educational School,
"
222,Jain Public School - Jhabua,"Gram Bilidoz, Near Jhabua â€“ Ranapur Road","Jhabua - 457661, Madhya Pradesh,",(9669200835748) 900-0000,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2010,
"
223,Jaora Public School,Jaora,"Ratlam - 457226, Madhya Pradesh,",(07414)-223418,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
224,Jawahar Navodaya School,Kalukheda,"Ratlam - 457339, Madhya Pradesh,","(07414)-276239,276105Fax:(07414)276239","Nursery - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 1991,
"
225,Jawahar Navodaya Vidyalaya,"Manpur, Post Joura","Morena - 476221, Madhya Pradesh,",(07532)-245375,"CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,
"
226,Jawahar Navodaya Vidyalaya,Ramkhiriya,"Panna - 488001, Madhya Pradesh,",(07732)-273211phone9878122842Fax:(07732)273211,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 1986,
"
227,Jawahar Navodaya Vidyalaya,Sirmaur,"Rewa - 486448, Madhya Pradesh,",(07660)-260669Fax:(07660)260882,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,
"
228,Jawahar Navodaya Vidyalaya,Shyampur,"Sehore - 466651, Madhya Pradesh,",(07562)-260244,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 1986,
"
229,Jawahar Navodaya Vidyalaya,Churhat,"Sidhi - 486771, Madhya Pradesh,",(989) 328-4399,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 1987,
"
230,Jawahar Navodaya Vidyalaya - Aranyakala,"Aranyakala, Teh. Kalpipal","Shajapur - 465333, Madhya Pradesh,",(07360)-254900Fax:(07360)254904,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 1995,
"
231,Jawahar Navodaya Vidyalaya - Badwara,Badwara,"Katni - 483773, Madhya Pradesh,","(07626)-276281,276394Fax:(07626)276281,276394","Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,
"
232,Jawahar Navodaya Vidyalaya - Bajrangarh,Bajrangarh,"Guna - 470177, Madhya Pradesh,",(07581)-241240,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 2004,
"
233,Jawahar Navodaya Vidyalaya - Beekar,Beekar,"Datia - 475661, Madhya Pradesh,",(07522)-268205Fax:(07522)268205,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 1988,
"
234,Jawahar Navodaya Vidyalaya - Birkhadi,"Birkhadi, Post Raun","Bhind - 477335, Madhya Pradesh,","(07529)-290003,290005phone9425437006Fax:(07529)290003,290005","Nursery - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 1987,
"
235,Jawahar Navodaya Vidyalaya - Bohani,"Bohani, Tehsil - Gadarwara","Narsinghpur - 487555, Madhya Pradesh,",(07791)-244133Fax:(07791)244133,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,
"
236,Jawahar Navodaya Vidyalaya - Ghatia,Ghatia,"Ujjain - 456550, Madhya Pradesh,",(07368)-265223Fax:(07368)265288,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,
"
237,Jawahar Navodaya Vidyalaya - Hatta,Hatta,"Damoh - 470775, Madhya Pradesh,",(07604)-262270,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,
"
238,Jawahar Navodaya Vidyalaya - JNV,"Village- Dhamangaon, Post-Shahpur","Dindori - 481880, Madhya Pradesh,",(07644)-280375,"High Secondary School,CBSE Board,Government School,Co-Educational School,Established in 2003,
"
239,Jawahar Navodaya Vidyalaya - JNV Alirajpur,Alirajpur,"Jhabua - 457887, Madhya Pradesh,",(07394)-233549Fax:(07394)233549,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 1986,
"
240,Jawahar Navodaya Vidyalaya - JNV Amarkantak,Amarkantak,"Anuppur - 484886, Madhya Pradesh,","(07629)-269424,269606,269460Fax:(07629)269424","Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 1987,
"
241,Jawahar Navodaya Vidyalaya - JNV Balagha,"Waraseoni, Murjhad","Balaghat - 481331, Madhya Pradesh,","(07633)-253071,254223Fax:(07633)253071","Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,
"
242,Jawahar Navodaya Vidyalaya - JNV Chhatarpur,Nowgong,"Chhatarpur - 471201, Madhya Pradesh,",(07685)-256314Fax:(07685)256314,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,
"
243,Jawahar Navodaya Vidyalaya - JNV Chhindwara,Village Singodi,"Chhindwara - 480223, Madhya Pradesh,",(07167)-258630phone9424389469Fax:(07167)258630,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 1993,
"
244,Jawahar Navodaya Vidyalaya - JNV Dewas,"Chandrakeshar Dam, Post Kantaphod, Tehsil - Satwas","Dewas - 455440, Madhya Pradesh,","(07273)-262304,262305,262306Fax:(07273)262264","Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,
"
245,Jawahar Navodaya Vidyalaya - JNV Guna,"Khirya Devat, Tehsil - Esagarh, Ashok Nagar","Guna - 473335, Madhya Pradesh,",(07542)-257730Fax:(07542)257730,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 2004,
"
246,Jawahar Navodaya Vidyalaya - JNV Harda,"Village - Charuwa, Khirkiya","Harda - 461444, Madhya Pradesh,",(07571)-255133Fax:(07571)255133,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 2002,
"
247,Jawahar Navodaya Vidyalaya - JNV Indore,"Tehsil - Mhow, Manpur","Indore - 453661, Madhya Pradesh,",(07324)-248254Fax:(07324)248254,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 1987,
"
248,Jawahar Navodaya Vidyalaya - JNV Jabalpur,Bargi Nagar,"Jabalpur - 482056, Madhya Pradesh,",(0761)-2880245Fax:(0761)2880510,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 1986,
"
249,Jawahar Navodaya Vidyalaya - JNV Khandwa,Village - Pandhana,"Khandwa - 450661, Madhya Pradesh,",(07320)-237136Fax:(07320)237136,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 1993,
"
250,Jawahar Navodaya Vidyalaya - JNV Khundesvar,khundesvar,"Tikamgarh - 472005, Madhya Pradesh,",(07683)-244464Fax:(07683)244464,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 1986,
"
251,Jawahar Navodaya Vidyalaya - JNV Khurai,Khurai,"Sagar - 470117, Madhya Pradesh,",(07582)-243029,"Class V - Class XII,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,
"
252,Jawahar Navodaya Vidyalaya - JNV Multan,Multan,"Dhar - 454660, Madhya Pradesh,",(07295)-276437Fax:(07295)276437,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 1987,
"
253,Jawahar Navodaya Vidyalaya - JNV Pichhore,"Pichhore, Near Dabra","Gwalior - 475115, Madhya Pradesh,",(07524)-286653Fax:(07524)286653,"Class V - Class XII,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,
"
254,Jawahar Navodaya Vidyalaya - JNV Raisen,"Bari- Hoshangabad Road, Bari","Raisen - 464665, Madhya Pradesh,",(07486)-285246,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,
"
255,Jawahar Navodaya Vidyalaya - JNV Sheopur,Jaida,"Sheopur - 476337, Madhya Pradesh,",(07530)-221401Fax:(07530)221401,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,
"
256,Jawahar Navodaya Vidyalaya - JNV Shivpuri,"Panghata, Tehsil - Narwar","Shivpuri - 473865, Madhya Pradesh,",(07491)-273580Fax:(07491)273389,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 1987,
"
257,Jawahar Navodaya Vidyalaya - JNV Umaria,"Dubbar Pali, Post- Lorha Chandia","Umaria - 484661, Madhya Pradesh,",(789) 848-7279,"Senior Secondary School,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 2006,
"
